"provider","caseId","caseSummary","mapId","requestedModel","actualModel","modelFallback","reasoningEffort","seed","outcome","failureCategory","generationLatencyMs","totalLatencyMs","inputTokens","outputTokens","totalTokens","apiCalls","repairCount","scenicCompileMs","scenicCompilePass","scenicSampleMs","scenicSamplePass","scenicCompileSampleMs","mapBindingPass","nativeValidationPass","simulationPass","simulationDurationS","simulationWallMs","simulationHash","actorCount","actionCount","semanticPass","editablePass","safeError","convergenceIterations","relativeActionCount","relativeTriggerFireCount","relativeTimingPass","stopReason","imagesSent","totalImageBytes","imageCostUsd"
"staged-rag","lead-hard-brake","Lead vehicle hard braking","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","","semantic-mismatch","semantic-constraints","5434","5559","716","496","1212","1","0","","","","","","true","true","true","20","111","fc1d60b2426edd2e82e6f3f48147fa5ab448dc6b9d868de1debd365ed0484470","2","2","false","true","explicit-stop: stopped actor or zero-speed action","","0","0","","","","",""
"staged-rag","cut-in","Adjacent-lane cut-in","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","","semantic-mismatch","semantic-constraints","5405","5539","705","466","1171","1","0","","","","","","true","true","true","20","124","6689f2379dda0ba42a1eecd5b895cfe6213705faa0f0bd2471bb361c4b4968cb","2","2","false","true","lateral-action: changeLane or laneOffset action","","0","0","","","","",""
"staged-rag","signalized-turn-conflict","Signalized turn conflict","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","","semantic-mismatch","semantic-constraints","6014","6141","714","512","1226","1","0","","","","","","true","true","true","20","119","aa41deb0e433fc6614afeb3764d6f01a09684122e39deb72a7e65e7510e30e73","2","2","false","true","turn-route: route turn/path action; signal-control: signal plan/control/action","","0","0","","","","",""
"staged-rag","pedestrian-near-miss","Pedestrian near miss","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","","failure","native-validation","11213","11433","705","464","1169","1","0","","","","","","true","false","false","","","","2","2","false","true","Materializer rejected candidate: [{""code"":""decel_budget_exceeded"",""severity"":""error"",""path"":""interactions.crossing_pedestrian-generated-speed.dynamics"",""reason"":""implies 21.67 m/s² of braking, above the 8 m/s² hard limit"",""detail"":{""impliedDecel"":21.666666666666668,""budget"":8}}]","","","","","","","",""
"staged-rag","occluded-pedestrian","Occluded pedestrian emergence","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","","failure","native-validation","6273","6530","710","555","1265","1","0","","","","","","true","false","false","","","","3","2","false","true","Materializer rejected candidate: [{""code"":""decel_budget_exceeded"",""severity"":""error"",""path"":""interactions.child_pedestrian-generated-speed.dynamics"",""reason"":""implies 21.67 m/s² of braking, above the 8 m/s² hard limit"",""detail"":{""impliedDecel"":21.666666666666668,""budget"":8}}]","","","","","","","",""
"staged-rag","multi-actor-intersection","Multi-actor intersection conflict","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","","success","","6485","6682","714","683","1397","1","0","","","","","","true","true","true","20","189","7ebd5d0ec0b27245db1fa2b3897ca6af1dedde5c95ee30e386b7b5c6463f5d40","3","3","true","true","","","0","0","","","","",""
"staged-rag","blocked-lane","Stopped vehicle blocks lane","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","","success","","4752","4872","698","468","1166","1","0","","","","","","true","true","true","20","114","345fb5d21fe1305109c7dfdde773fad2cd3beaee93c4b316745a65f46e1db95f","2","1","true","true","","","0","0","","","","",""
"staged-rag","opposing-left-turn","Opposing left turn","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","","semantic-mismatch","semantic-constraints","3901","4016","695","403","1098","1","0","","","","","","true","true","true","20","112","a3ff6d625f593494f21caee1edc91517267a0d0f41e43020e4252cb299749dab","2","2","false","true","turn-route: route turn/path action","","0","0","","","","",""
"staged-rag","motorcycle-cyclist","Motorcycle and cyclist interaction","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","","semantic-mismatch","semantic-constraints","4978","5111","709","429","1138","1","0","","","","","","true","true","true","20","127","03ef6fc9b1079d127741f90e11f8b0ec4bd353346e7b74b62d2f5ed1b48d25ae","2","2","false","true","lateral-action: lateral or near-miss action","","0","0","","","","",""
"staged-rag","unsupported-impossible","Deliberately impossible request","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","","unexpected-generation","unsupported-request-not-rejected","5480","5573","709","484","1193","1","0","","","","","","true","true","true","20","87","296462833ee5208d398b775761293d35a4859d0fe6a3ffce7605de672958078d","1","1","false","true","Provider materialized and simulated an unsupported request","","0","0","","","","",""
