"provider","caseId","caseSummary","mapId","requestedModel","actualModel","modelFallback","outcome","failureCategory","generationLatencyMs","totalLatencyMs","inputTokens","outputTokens","totalTokens","apiCalls","repairCount","scenicCompileMs","scenicCompilePass","scenicSampleMs","scenicSamplePass","scenicCompileSampleMs","mapBindingPass","nativeValidationPass","simulationPass","simulationDurationS","simulationWallMs","simulationHash","actorCount","actionCount","semanticPass","editablePass","safeError"
"staged-rag","lead-hard-brake","Lead vehicle hard braking","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","semantic-mismatch","semantic-constraints","4601","4777","716","477","1193","1","0","","","","","","true","true","true","20","157","eb8e85b8fd8a682c96470b5a0bed31d748fc4aecd362d011ab05039f30ec6741","2","2","false","true","explicit-stop: stopped actor or zero-speed action"
"staged-rag","cut-in","Adjacent-lane cut-in","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","semantic-mismatch","semantic-constraints","5341","5492","705","580","1285","1","0","","","","","","true","true","true","20","143","c958694d80d770bd5f3ea2ec8d06162486131958caa4b97746736f00a1724595","2","2","false","true","lateral-action: changeLane or laneOffset action"
"staged-rag","signalized-turn-conflict","Signalized turn conflict","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","semantic-mismatch","semantic-constraints","5828","5972","714","621","1335","1","0","","","","","","true","true","true","20","136","aa41deb0e433fc6614afeb3764d6f01a09684122e39deb72a7e65e7510e30e73","2","2","false","true","turn-route: route turn/path action; signal-control: signal plan/control/action"
"staged-rag","pedestrian-near-miss","Pedestrian near miss","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","failure","native-validation","4301","4307","705","435","1140","1","0","","","","","","true","false","false","","","","2","2","false","true","Materializer rejected candidate: [object Object]"
"staged-rag","occluded-pedestrian","Occluded pedestrian emergence","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","failure","native-validation","4726","4732","710","529","1239","1","0","","","","","","true","false","false","","","","3","2","false","true","Materializer rejected candidate: [object Object]"
"staged-rag","multi-actor-intersection","Multi-actor intersection conflict","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","success","","6350","6558","714","677","1391","1","0","","","","","","true","true","true","20","202","7ebd5d0ec0b27245db1fa2b3897ca6af1dedde5c95ee30e386b7b5c6463f5d40","3","3","true","true",""
"staged-rag","blocked-lane","Stopped vehicle blocks lane","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","success","","5715","5839","698","517","1215","1","0","","","","","","true","true","true","20","121","29d6b839df4af4dd99fadfa53fc6bfe338214401254d29136ac72d8e9b021b08","2","1","true","true",""
"staged-rag","opposing-left-turn","Opposing left turn","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","semantic-mismatch","semantic-constraints","4708","4851","695","514","1209","1","0","","","","","","true","true","true","20","139","a3ff6d625f593494f21caee1edc91517267a0d0f41e43020e4252cb299749dab","2","2","false","true","turn-route: route turn/path action"
"staged-rag","motorcycle-cyclist","Motorcycle and cyclist interaction","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","semantic-mismatch","semantic-constraints","4408","4547","709","464","1173","1","0","","","","","","true","true","true","20","133","f789d0a9339ee1bb196c93708bc395d1956d4b72b360f851de1d5feacea5c03c","2","2","false","true","lateral-action: lateral or near-miss action"
"staged-rag","unsupported-impossible","Deliberately impossible request","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","unexpected-generation","unsupported-request-not-rejected","6345","6489","709","473","1182","1","0","","","","","","true","true","true","20","141","963006c49d144bd72207f3b957808744b5751db1d61796675c5011042bc5592d","2","2","false","true","Provider materialized and simulated an unsupported request"
