"provider","caseId","caseSummary","mapId","requestedModel","actualModel","modelFallback","reasoningEffort","seed","outcome","failureCategory","generationLatencyMs","totalLatencyMs","inputTokens","outputTokens","totalTokens","apiCalls","repairCount","scenicCompileMs","scenicCompilePass","scenicSampleMs","scenicSamplePass","scenicCompileSampleMs","mapBindingPass","nativeValidationPass","simulationPass","simulationDurationS","simulationWallMs","simulationHash","actorCount","actionCount","semanticPass","editablePass","safeError","convergenceIterations","relativeActionCount","relativeTriggerFireCount","relativeTimingPass","stopReason","imagesSent","totalImageBytes","imageCostUsd"
"upstream-chat2scenic","lead-hard-brake","Lead vehicle hard braking","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","20260803","semantic-mismatch","semantic-constraints","43330","43410","18324","3804","22128","8","0","288","true","1","true","293","true","true","true","20","71","6d63cd30db346eaf27dee99ab4f9ac2971fef7aa82b601cd18ff17754a19618a","2","2","false","true","explicit-stop: stopped actor or zero-speed action","","0","0","","","","",""
"upstream-chat2scenic","cut-in","Adjacent-lane cut-in","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","20260803","success","","51815","51880","18537","3924","22461","8","0","268","true","0","true","269","true","true","true","20","62","f4d5a5b2c167abf4297571e0c3dcd103dce223ffb214e990766672a7ee221df4","2","3","true","true","","","0","0","","","","",""
"upstream-chat2scenic","signalized-turn-conflict","Signalized turn conflict","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","20260803","semantic-mismatch","semantic-constraints","47054","47101","18840","4056","22896","8","0","317","true","0","true","318","true","true","true","20","45","0495903e5f9b09b44c976b91b2430c705196e6490e253736765fe9e72af167c9","2","4","false","true","signal-control: signal plan/control/action","","0","0","","","","",""
"upstream-chat2scenic","pedestrian-near-miss","Pedestrian near miss","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","20260803","failure","map-binding","49071","49287","18403","4092","22495","8","0","274","true","0","true","274","false","false","false","","","","","","false","false","near_miss_infeasible_speed at choreography.interactions.near-miss-trusted-2.target: no collision-free near miss satisfies the time, speed and clearance bounds","","","","","","","",""
"upstream-chat2scenic","occluded-pedestrian","Occluded pedestrian emergence","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","20260803","success","","51828","51970","23040","3740","26780","9","0","286","true","1","true","287","true","true","true","20","139","f16473eb4d539f87a080c8744dd5247d6db6ff109307403c139507d6a91bb558","3","2","true","true","","","0","0","","","","",""
"upstream-chat2scenic","multi-actor-intersection","Multi-actor intersection conflict","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","20260803","success","","55053","55149","24062","5032","29094","9","0","270","true","0","true","271","true","true","true","20","95","a89a6391b0625cdfc250d2ca16f083e8e233881a9b75ac66ab7071c41b75e988","3","3","true","true","","","0","0","","","","",""
"upstream-chat2scenic","blocked-lane","Stopped vehicle blocks lane","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","20260803","success","","43017","43067","18271","3619","21890","8","0","268","true","0","true","269","true","true","true","20","48","b26942b3765a646b87eebc0dcbb717a1f1b6821ac42c038a62eaf15b7ddc860f","2","3","true","true","","","0","0","","","","",""
"upstream-chat2scenic","opposing-left-turn","Opposing left turn","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","20260803","semantic-mismatch","semantic-constraints","46998","47037","18656","4182","22838","8","0","293","true","0","true","294","true","true","true","20","38","30761f58d0b6662307b1653543eba86b19fcb72e2e12571df2c97262b9d88c50","2","3","false","true","turn-route: route turn/path action","","0","0","","","","",""
"upstream-chat2scenic","motorcycle-cyclist","Motorcycle and cyclist interaction","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","20260803","success","","73794","73890","23339","6894","30233","9","0","302","true","0","true","304","true","true","true","20","94","ab1e9f3fcf8af3eea4c569c3f3ac5f6373da57ae23e36e0aa88f49730e079bda","3","4","true","true","","","0","0","","","","",""
"upstream-chat2scenic","unsupported-impossible","Deliberately impossible request","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","20260803","unexpected-generation","unsupported-request-not-rejected","34507","34555","13778","2764","16542","7","0","272","true","0","true","273","true","true","true","20","46","df3573fc9c5f2f4270fb5df4330dd5255c1fed480b876b9b99c34b83be53cbc8","1","1","false","true","Provider materialized and simulated an unsupported request","","0","0","","","","",""
