"provider","caseId","caseSummary","mapId","requestedModel","actualModel","modelFallback","reasoningEffort","seed","outcome","failureCategory","generationLatencyMs","totalLatencyMs","inputTokens","outputTokens","totalTokens","apiCalls","repairCount","scenicCompileMs","scenicCompilePass","scenicSampleMs","scenicSamplePass","scenicCompileSampleMs","mapBindingPass","nativeValidationPass","simulationPass","simulationDurationS","simulationWallMs","simulationHash","actorCount","actionCount","semanticPass","editablePass","safeError","convergenceIterations","relativeActionCount","relativeTriggerFireCount","relativeTimingPass","stopReason","imagesSent","totalImageBytes","imageCostUsd"
"direct-llm","lead-hard-brake","Lead vehicle hard braking","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","","semantic-mismatch","semantic-constraints","8878","8970","2356","856","3212","1","0","","","","","","true","true","true","20","76","e603ae5a2fb4c3c9f653a33984107e747da7331893fa49ba6f04d8b4b3cce5f8","2","2","false","true","explicit-stop: stopped actor or zero-speed action","","0","0","","","","",""
"direct-llm","cut-in","Adjacent-lane cut-in","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","","success","","8775","8851","2351","714","3065","1","0","","","","","","true","true","true","20","74","536c990f43e5bc347152f308fc9d008a4c961a95978a6927ae761e2b36820ceb","2","3","true","true","","","0","0","","","","",""
"direct-llm","signalized-turn-conflict","Signalized turn conflict","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","","semantic-mismatch","semantic-constraints","8432","8549","2354","901","3255","1","0","","","","","","true","true","true","20","111","4d8ae16a4fbf342888e1929bb3dd27648b8edc2aba78fbe62c344f33ae795834","2","3","false","true","signal-control: signal plan/control/action","","0","0","","","","",""
"direct-llm","pedestrian-near-miss","Pedestrian near miss","richmond-field-station","gpt-5.6-luna","","false","","","failure","provider-generation","","10428","","","","","","","","","","","false","false","false","","","","","","false","false","choreography.interactions.1: ""pedestrian-crossing"" and ""pedestrian-near-miss"" both take the topology axis of ""adult-pedestrian"" at t=5s; one axis has one owner","","","","","","","",""
"direct-llm","occluded-pedestrian","Occluded pedestrian emergence","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","","success","","12660","12827","2351","1133","3484","1","0","","","","","","true","true","true","20","163","780897ecfe255e30df12f45c5ea02863e66227807a55c5b43567fcfd604d73d6","3","2","true","true","","","0","0","","","","",""
"direct-llm","multi-actor-intersection","Multi-actor intersection conflict","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","","success","","16941","17103","5403","1844","7247","2","1","","","","","","true","true","true","20","159","b7334a014d557b3772490d1c611304d520c9476378be83835beb3f880cb334f6","3","3","true","true","","","0","0","","","","",""
"direct-llm","blocked-lane","Stopped vehicle blocks lane","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","","success","","11371","11464","2347","1090","3437","1","0","","","","","","true","true","true","20","87","e76901d820d6f19e190d0d4f0616332fc6125f0c1de183587fd068bf41e5baed","2","3","true","true","","","0","0","","","","",""
"direct-llm","opposing-left-turn","Opposing left turn","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","","success","","9603","9675","2346","743","3089","1","0","","","","","","true","true","true","20","66","5a1bf4b3d0847aa2631c0fb90bf17f627649e5c4d9a270ac5618f7a4b627e4a4","2","2","true","true","","","0","0","","","","",""
"direct-llm","motorcycle-cyclist","Motorcycle and cyclist interaction","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","","success","","16679","16757","5324","1729","7053","2","1","","","","","","true","true","true","20","75","bc5fb77d5ff097c099a01ca10bfedce1e8ca038ce11a0cff81665531f6887cf9","2","4","true","true","","","0","0","","","","",""
"direct-llm","unsupported-impossible","Deliberately impossible request","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","","","unexpected-generation","unsupported-request-not-rejected","7279","7338","2349","637","2986","1","0","","","","","","true","true","true","20","57","8b2ec4f31f4a34315170f90543ed0a86bc47a526c9cfec297658ee7863c934cb","1","1","false","true","Provider materialized and simulated an unsupported request","","0","0","","","","",""
