"provider","caseId","caseSummary","mapId","requestedModel","actualModel","modelFallback","reasoningEffort","outcome","failureCategory","generationLatencyMs","totalLatencyMs","inputTokens","outputTokens","totalTokens","apiCalls","repairCount","scenicCompileMs","scenicCompilePass","scenicSampleMs","scenicSamplePass","scenicCompileSampleMs","mapBindingPass","nativeValidationPass","simulationPass","simulationDurationS","simulationWallMs","simulationHash","actorCount","actionCount","semanticPass","editablePass","safeError","convergenceIterations","relativeActionCount","relativeTriggerFireCount","relativeTimingPass","stopReason","imagesSent","totalImageBytes","imageCostUsd"
"direct-llm","lead-hard-brake","Lead vehicle hard braking","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","semantic-mismatch","semantic-constraints","15845","15972","2356","894","3250","1","0","","","","","","true","true","true","20","106","32391796c90a7b6f94bc9dab41bcfcac89dd8762117972d4218e3ac51627feaf","2","2","false","true","explicit-stop: stopped actor or zero-speed action","","0","0","","","","",""
"direct-llm","cut-in","Adjacent-lane cut-in","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","success","","12971","13070","2351","754","3105","1","0","","","","","","true","true","true","20","91","0bdb43d6310e50a447fad569096170aa173d2f817c98bb5fa3572618d5086e9e","2","3","true","true","","","0","0","","","","",""
"direct-llm","signalized-turn-conflict","Signalized turn conflict","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","semantic-mismatch","semantic-constraints","20872","20983","2354","1256","3610","1","0","","","","","","true","true","true","20","106","2e7ee40e271802043e73695363a47cfb737adbc16bdf171ca709c1ce94515c96","2","4","false","true","signal-control: signal plan/control/action","","0","0","","","","",""
"direct-llm","pedestrian-near-miss","Pedestrian near miss","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","failure","map-binding","12023","12036","2354","625","2979","1","0","","","","","","false","false","false","","","","","","false","false","near_miss_infeasible_speed at choreography.interactions.pedestrian-crossing-near-miss.target: no collision-free near miss satisfies the time, speed and clearance bounds","","","","","","","",""
"direct-llm","occluded-pedestrian","Occluded pedestrian emergence","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","success","","37478","37625","2351","1961","4312","1","0","","","","","","true","true","true","20","142","62a8730a8bd56afb7f03230355d552f34486956c8d0153f12609b41dfd5dbc99","3","4","true","true","","","0","0","","","","",""
"direct-llm","multi-actor-intersection","Multi-actor intersection conflict","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","success","","22307","22466","2354","1119","3473","1","0","","","","","","true","true","true","20","148","09795056fa711297a0222550e70794ae3d1a0b34f454eae831c38ae34b9ee96c","3","3","true","true","","","0","0","","","","",""
"direct-llm","blocked-lane","Stopped vehicle blocks lane","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","success","","18845","18928","2347","831","3178","1","0","","","","","","true","true","true","20","77","b387002d81e4e7004784ae41b65d7b50fb37fd8d6e311f465f9ecba52cf7a64c","2","1","true","true","","","1","1","true","","","",""
"direct-llm","opposing-left-turn","Opposing left turn","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","semantic-mismatch","semantic-constraints","12002","12055","2346","626","2972","1","0","","","","","","true","true","true","20","51","43a0bbf5acbb88ed0ca9925b7d4f8e64e76318bda82e0c0d051ef924441b7adf","2","1","false","true","turn-route: route turn/path action","","0","0","","","","",""
"direct-llm","motorcycle-cyclist","Motorcycle and cyclist interaction","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","success","","54604","54709","2349","3120","5469","1","0","","","","","","true","true","true","20","99","2c4a2485e9b694e5ed65a3b70cdbdd0f5ec175ba5bbc144fb1005c19c1a6629f","2","4","true","true","","","0","0","","","","",""
"direct-llm","unsupported-impossible","Deliberately impossible request","richmond-field-station","gpt-5.6-sol","gpt-5.6-sol","false","high","unexpected-generation","unsupported-request-not-rejected","9913","9994","2349","535","2884","1","0","","","","","","true","true","true","20","76","29d4297e5757b0f4572976c45e213c660fe81717ed1caffd5c8bf45e378a3a46","1","1","false","true","Provider materialized and simulated an unsupported request","","0","0","","","","",""
