"provider","caseId","caseSummary","mapId","requestedModel","actualModel","modelFallback","reasoningEffort","seed","outcome","failureCategory","generationLatencyMs","totalLatencyMs","inputTokens","outputTokens","totalTokens","apiCalls","repairCount","scenicCompileMs","scenicCompilePass","scenicSampleMs","scenicSamplePass","scenicCompileSampleMs","mapBindingPass","nativeValidationPass","simulationPass","simulationDurationS","simulationWallMs","simulationHash","actorCount","actionCount","semanticPass","editablePass","safeError","convergenceIterations","relativeActionCount","relativeTriggerFireCount","relativeTimingPass","stopReason","imagesSent","totalImageBytes","imageCostUsd"
"simulation-agent-vision","lead-hard-brake","Lead vehicle hard braking","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","failure","no-candidate","93383","93386","16036","9710","25746","4","3","","","","","","false","false","false","","","","","","false","false","iteration_budget_exhausted: No candidate passed schema, map binding, full simulation, and requested semantic checks within 4 iterations.; check_requested_semantics: two-vehicles=true: 2 vehicles; explicit-stop=false: stopped actor or zero-speed action; timed-speed-action=true: speed action at/after 4s; explicit-stop: stopped actor or zero-speed action","4","","","","iteration-budget-exhausted","4","110420",""
"simulation-agent-vision","cut-in","Adjacent-lane cut-in","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","success","","13813","14049","3694","1441","5135","1","0","","","","","","true","true","true","20","76","adc4e62d3e9c202d081fbaf30c3cd1878e72ff55edd647f430330e8574958846","2","3","true","true","","1","0","0","","verified","1","34412",""
"simulation-agent-vision","signalized-turn-conflict","Signalized turn conflict","richmond-field-station","gpt-5.6-luna","","false","high","","failure","provider-generation","","33789","","","","","","","","","","","false","false","false","","","","","","false","false","choreography.interactions.1: ""opposing-left-turn"" and ""opposing-near-miss"" both take the topology axis of ""opposing-sedan"" at t=5s; one axis has one owner; choreography.interactions.2.actor: nearMiss routes are only supported for pedestrians","","","","","","","",""
"simulation-agent-vision","pedestrian-near-miss","Pedestrian near miss","richmond-field-station","gpt-5.6-luna","","false","high","","failure","provider-generation","","34574","","","","","","","","","","","false","false","false","","","","","","false","false","action pedestrian-crossing lane offset must be within -1..1","","","","","","","",""
"simulation-agent-vision","occluded-pedestrian","Occluded pedestrian emergence","richmond-field-station","gpt-5.6-luna","","false","high","","failure","provider-generation","","77420","","","","","","","","","","","false","false","false","","","","","","false","false","action child-enters-ego-path lane offset must be within -1..1","","","","","","","",""
"simulation-agent-vision","multi-actor-intersection","Multi-actor intersection conflict","richmond-field-station","gpt-5.6-luna","","false","high","","failure","provider-generation","","29798","","","","","","","","","","","false","false","false","","","","","","false","false","choreography.interactions.6: ""ego-pickup-conflict"" and ""ego-van-conflict"" both take the topology axis of ""ego-sedan"" at t=8s; one axis has one owner; choreography.interactions.6.actor: nearMiss routes are only supported for pedestrians; choreography.interactions.7.actor: nearMiss routes are only supported for pedestrians; choreography.interactions.8.actor: nearMiss routes are only supported for pedestrians","","","","","","","",""
"simulation-agent-vision","blocked-lane","Stopped vehicle blocks lane","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","success","","21087","21267","3690","1978","5668","1","0","","","","","","true","true","true","20","48","d64c5cc3b7bb7cfe74df74e9853b7a8d7f767a0da57513fd1a4af390543559f4","2","3","true","true","","1","1","1","true","verified","1","34412",""
"simulation-agent-vision","opposing-left-turn","Opposing left turn","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","success","","21522","21752","3689","2058","5747","1","0","","","","","","true","true","true","20","74","712152ecb3cc71d429f852cfa11b245a360b26a47a582ca1f332f6fe5e51a79f","2","2","true","true","","1","0","0","","verified","1","34412",""
"simulation-agent-vision","motorcycle-cyclist","Motorcycle and cyclist interaction","richmond-field-station","gpt-5.6-luna","","false","high","","failure","provider-generation","","30249","","","","","","","","","","","false","false","false","","","","","","false","false","action motorcycle-close-lateral-pass lane offset must be within -1..1","","","","","","","",""
"simulation-agent-vision","unsupported-impossible","Deliberately impossible request","richmond-field-station","gpt-5.6-luna","","false","high","","expected-rejection","provider-generation","","1","","","","","","","","","","","false","false","false","","","","","","false","false","Unsupported request: native road actors cannot teleport, fly, or pass through buildings.","","","","","","","",""
"simulation-agent-vision","pedestrian-distance-trigger","Pedestrian starts from vehicle distance","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","success","","17909","18852","3701","1828","5529","1","0","","","","","","true","true","true","20","62","d4db046bb9fefbcd1b3fa41aa24eeeb8c2605780d00e2406a115ce2510cca9c2","2","1","true","true","","1","1","1","true","verified","1","34412",""
"simulation-agent-vision","pedestrian-ttc-trigger","Pedestrian starts from TTC","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","success","","41945","42882","3702","4519","8221","1","0","","","","","","true","true","true","20","58","17476b53c06ec96f549ec4aeee9b13d77e1f960ba4e89c7dc3eb9bb5476dee32","2","3","true","true","","1","1","0","false","verified","1","34412",""
"simulation-agent-vision","child-between-parked-vehicles","Child occluded by two parked vehicles","richmond-field-station","gpt-5.6-luna","","false","high","","failure","provider-generation","","19036","","","","","","","","","","","false","false","false","","","","","","false","false","action action-child-emerge lane offset must be within -1..1","","","","","","","",""
"simulation-agent-vision","synchronized-near-miss","Synchronized conflict-point near miss","richmond-field-station","gpt-5.6-luna","","false","high","","failure","provider-generation","","19222","","","","","","","","","","","false","false","false","","","","","","false","false","choreography.interactions.2.actor: nearMiss routes are only supported for pedestrians","","","","","","","",""
"simulation-agent-vision","emergency-yield-response","Distance-triggered emergency yield","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","failure","no-candidate","97216","97216","15964","9406","25370","4","3","","","","","","false","false","false","","","","","","false","false","iteration_budget_exhausted: No candidate passed schema, map binding, full simulation, and requested semantic checks within 4 iterations.; check_requested_semantics: emergency-actor=false: emergency actors=0; relative-yield=true: 1 relative yield actions; emergency-actor: emergency actors=0","4","","","","iteration-budget-exhausted","4","110319",""
"simulation-agent-vision","signal-delayed-turn","Signal phase delayed turn","richmond-field-station","gpt-5.6-luna","","false","high","","failure","provider-generation","","106817","","","","","","","","","","","false","false","false","","","","","","false","false","choreography.interactions.2: ""adversary-signal-plan"" and ""adversary-signal-wait"" both take the longitudinal axis of ""adversary"" at t=0s; one axis has one owner; choreography.interactions.2: ""adversary-signal-plan"" and ""adversary-signal-permit"" both take the longitudinal axis of ""adversary"" at t=0s; one axis has one owner; choreography.interactions.3: ""adversary-signal-wait"" and ""adversary-signal-permit"" both take the longitudinal axis of ""adversary"" at t=0s; one axis has one owner","","","","","","","",""
"simulation-agent-vision","merge-rear-gap","Merge after rear-gap acceptance","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","success","","26875","27838","3698","2884","6582","1","0","","","","","","true","true","true","20","60","436a01f61cb043c0c94127c53c7e93da968e6989b5512e3340eb713eb69dbe09","2","1","true","true","","1","1","0","false","verified","1","34412",""
"simulation-agent-vision","bus-occluded-cyclist","Cyclist occluded by stopped bus","richmond-field-station","gpt-5.6-luna","","false","high","","failure","provider-generation","","31055","","","","","","","","","","","false","false","false","","","","","","false","false","action bicycle-emergence lane offset must be within -1..1","","","","","","","",""
"simulation-agent-vision","lane-change-then-brake","Sequential lane change then brake","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","success","","27365","28462","3698","2941","6639","1","0","","","","","","true","true","true","20","126","26fe63d0661458ef4d0b9e34c739df9e0395862a9b4b6fde692688df23cd09b7","2","2","true","true","","1","0","0","","verified","1","34412",""
"simulation-agent-vision","contradictory-constraints","Contradictory physical constraints","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","expected-rejection","expected-rejection","24988","24989","15816","1963","17779","4","3","","","","","","false","false","false","","","","","","false","false","iteration_budget_exhausted: No candidate passed schema, map binding, full simulation, and requested semantic checks within 4 iterations.; check_requested_semantics: must-reject-contradiction=false: provider materialized mutually contradictory collision and separation requirements; must-reject-contradiction: provider materialized mutually contradictory collision and separation requirements","4","","","","iteration-budget-exhausted","4","111063",""
