"provider","caseId","caseSummary","mapId","requestedModel","actualModel","modelFallback","reasoningEffort","seed","outcome","failureCategory","generationLatencyMs","totalLatencyMs","inputTokens","outputTokens","totalTokens","apiCalls","repairCount","scenicCompileMs","scenicCompilePass","scenicSampleMs","scenicSamplePass","scenicCompileSampleMs","mapBindingPass","nativeValidationPass","simulationPass","simulationDurationS","simulationWallMs","simulationHash","actorCount","actionCount","semanticPass","editablePass","safeError","convergenceIterations","relativeActionCount","relativeTriggerFireCount","relativeTimingPass","stopReason","imagesSent","totalImageBytes","imageCostUsd"
"relative-goal-optimizer","lead-hard-brake","Lead vehicle hard braking","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","failure","no-candidate","25042","25044","2311","2509","4820","1","0","","","","","","false","false","false","","","","","","false","false","optimizer_budget_exhausted: No parameter set passed full simulation and requested goals in 21/24 evaluations.","21","","","","evaluation-budget-exhausted","","",""
"relative-goal-optimizer","cut-in","Adjacent-lane cut-in","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","success","","20443","20520","2306","2091","4397","1","0","","","","","","true","true","true","20","73","3bca3209bdbe83d60e70649a59601ce98618779cde908109311d4e80c800bab1","2","4","true","true","","","0","0","","verified","","",""
"relative-goal-optimizer","signalized-turn-conflict","Signalized turn conflict","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","failure","no-candidate","21194","21195","2309","2326","4635","1","0","","","","","","false","false","false","","","","","","false","false","optimizer_budget_exhausted: No parameter set passed full simulation and requested goals in 24/24 evaluations.","24","","","","evaluation-budget-exhausted","","",""
"relative-goal-optimizer","pedestrian-near-miss","Pedestrian near miss","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","failure","no-candidate","24983","24984","2309","2828","5137","1","0","","","","","","false","false","false","","","","","","false","false","optimizer_budget_exhausted: No parameter set passed full simulation and requested goals in 18/24 evaluations.","18","","","","evaluation-budget-exhausted","","",""
"relative-goal-optimizer","occluded-pedestrian","Occluded pedestrian emergence","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","failure","no-candidate","27285","27286","2306","3186","5492","1","0","","","","","","false","false","false","","","","","","false","false","optimizer_budget_exhausted: No parameter set passed full simulation and requested goals in 24/24 evaluations.","24","","","","evaluation-budget-exhausted","","",""
"relative-goal-optimizer","multi-actor-intersection","Multi-actor intersection conflict","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","failure","no-candidate","45291","45291","2309","5183","7492","1","0","","","","","","false","false","false","","","","","","false","false","optimizer_budget_exhausted: No parameter set passed full simulation and requested goals in 24/24 evaluations.","24","","","","evaluation-budget-exhausted","","",""
"relative-goal-optimizer","blocked-lane","Stopped vehicle blocks lane","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","failure","no-candidate","18806","18806","2302","2017","4319","1","0","","","","","","false","false","false","","","","","","false","false","optimizer_budget_exhausted: No parameter set passed full simulation and requested goals in 23/24 evaluations.","23","","","","evaluation-budget-exhausted","","",""
"relative-goal-optimizer","opposing-left-turn","Opposing left turn","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","success","","28137","28180","2301","3259","5560","1","0","","","","","","true","true","true","20","40","0c7e5705e2619bc8d6b1b8ff9343288bfa8ba3c7cf0cb8ea5d9c756cfc3fd1ea","2","5","true","true","","","0","0","","verified","","",""
"relative-goal-optimizer","motorcycle-cyclist","Motorcycle and cyclist interaction","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","failure","no-candidate","27449","27449","2304","3041","5345","1","0","","","","","","false","false","false","","","","","","false","false","optimizer_budget_exhausted: No parameter set passed full simulation and requested goals in 24/24 evaluations.","24","","","","evaluation-budget-exhausted","","",""
"relative-goal-optimizer","unsupported-impossible","Deliberately impossible request","richmond-field-station","gpt-5.6-luna","","false","high","","expected-rejection","provider-generation","","1","","","","","","","","","","","false","false","false","","","","","","false","false","Unsupported request: physical constraints are impossible or mutually contradictory.","","","","","","","",""
