"provider","caseId","caseSummary","mapId","requestedModel","actualModel","modelFallback","reasoningEffort","providerWarnings","generationLatencyMs","totalLatencyMs","inputTokens","outputTokens","totalTokens","apiCalls","repairCount","scenicCompileMs","scenicCompilePass","scenicSampleMs","scenicSamplePass","scenicCompileSampleMs","mapBindingPass","nativeValidationPass","simulationPass","simulationDurationS","simulationWallMs","simulationHash","actorCount","actionCount","semanticPass","semanticAssertions","editablePass","convergenceIterations","relativeActionCount","relativeTriggerFireCount","relativeTimingPass","stopReason","imagesSent","totalImageBytes","imageCostUsd","outcome","failureCategory","safeError","artifactId","seed"
"direct-llm","lead-hard-brake","Lead vehicle hard braking","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","[]","14597","14609","2356","1550","3906","1","0","null","null","null","null","null","true","false","false","null","null","null","2","3","false","[]","true","null","null","null","null","null","null","null","null","failure","native-validation","Materializer rejected candidate: [{""code"":""decel_budget_exceeded"",""severity"":""error"",""path"":""interactions.lead-hard-brake.dynamics"",""reason"":""implies 11.29 m/s² of braking, above the 8 m/s² hard limit"",""detail"":{""impliedDecel"":11.293595697977812,""budget"":8}}]","direct-luna/results.json",""
"direct-llm","cut-in","Adjacent-lane cut-in","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","[]","7877","7988","2351","776","3127","1","0","null","null","null","null","null","true","true","true","20","106","3c1d997e5e5a27e05815b88ce333bc172c52f83b1c3abc6a96328c9a922d2e7e","2","1","true","[{""id"":""two-vehicles"",""pass"":true,""evidence"":""2 vehicles""},{""id"":""lateral-action"",""pass"":true,""evidence"":""changeLane or laneOffset action""}]","true","null","0","0","null","null","null","null","null","success","null","null","direct-luna/results.json",""
"direct-llm","signalized-turn-conflict","Signalized turn conflict","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","[]","14060","14168","2354","1547","3901","1","0","null","null","null","null","null","true","true","true","20","103","acebc47206e783c988cce775d165f6c1f896b7fde253c3613658d106f0783f2c","2","4","false","[{""id"":""two-vehicles"",""pass"":true,""evidence"":""2 vehicles""},{""id"":""turn-route"",""pass"":true,""evidence"":""route turn/path action""},{""id"":""signal-control"",""pass"":false,""evidence"":""signal plan/control/action""}]","true","null","0","0","null","null","null","null","null","semantic-mismatch","semantic-constraints","signal-control: signal plan/control/action","direct-luna/results.json",""
"direct-llm","pedestrian-near-miss","Pedestrian near miss","richmond-field-station","gpt-5.6-luna","null","false","high","[]","null","18470","null","null","null","null","null","null","null","null","null","null","false","false","false","null","null","null","null","null","false","[]","false","null","null","null","null","null","null","null","null","failure","provider-generation","choreography.interactions.1: ""pedestrian-crossing"" and ""pedestrian-near-miss"" both take the topology axis of ""crossing-pedestrian"" at t=5s; one axis has one owner","direct-luna/results.json",""
"direct-llm","occluded-pedestrian","Occluded pedestrian emergence","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","[]","23214","23426","2351","2696","5047","1","0","null","null","null","null","null","true","true","true","20","200","995c29c82693f3e0df17aecfff962275153bf2044f9b83b476aca4ba045667ab","3","3","true","[{""id"":""vehicle-and-pedestrian"",""pass"":true,""evidence"":""2 vehicles; pedestrian=true""},{""id"":""static-large-occluder"",""pass"":true,""evidence"":""static occluder; catalogs=vehicle.sedan,vehicle.van,pedestrian.child_walking""}]","true","null","0","0","null","null","null","null","null","success","null","null","direct-luna/results.json",""
"direct-llm","multi-actor-intersection","Multi-actor intersection conflict","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","[]","28882","29027","5436","3392","8828","2","1","null","null","null","null","null","true","true","true","20","137","3bb1c75111f4567cfdc76e33d35dc7175b3c64a11bc085a4f879c8084c6d44f9","3","3","true","[{""id"":""three-vehicles"",""pass"":true,""evidence"":""3 vehicles""},{""id"":""coordinated-actions"",""pass"":true,""evidence"":""3 actions""}]","true","null","0","0","null","null","null","null","null","success","null","null","direct-luna/results.json",""
"direct-llm","blocked-lane","Stopped vehicle blocks lane","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","[]","15950","16045","2347","1541","3888","1","0","null","null","null","null","null","true","true","true","20","92","c4e4667a568392b6811e3bc69daa3107f75b30d4bb677778e6270ca5c30fa55a","2","4","true","[{""id"":""two-vehicles"",""pass"":true,""evidence"":""2 vehicles""},{""id"":""stopped-obstacle"",""pass"":true,""evidence"":""stopped/static actor or zero-speed action""}]","true","null","0","0","null","null","null","null","null","success","null","null","direct-luna/results.json",""
"direct-llm","opposing-left-turn","Opposing left turn","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","[]","15729","15806","2346","1865","4211","1","0","null","null","null","null","null","true","true","true","20","73","5704c480ca34e648640b3f634d2b7143eb9a78095bec9efcccf29ff8c949f546","2","4","true","[{""id"":""two-vehicles"",""pass"":true,""evidence"":""2 vehicles""},{""id"":""turn-route"",""pass"":true,""evidence"":""route turn/path action""}]","true","null","0","0","null","null","null","null","null","success","null","null","direct-luna/results.json",""
"direct-llm","motorcycle-cyclist","Motorcycle and cyclist interaction","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","[]","42812","42916","5269","3029","8298","2","1","null","null","null","null","null","true","true","true","20","100","ba1a3e874003d6d97707a9243d3fe3dd0842b7c8827887ae0a8ab36c8ef3189e","2","3","true","[{""id"":""motorcycle"",""pass"":true,""evidence"":""catalogs=vehicle.motorcycle,vehicle.bicycle""},{""id"":""bicycle"",""pass"":true,""evidence"":""catalogs=vehicle.motorcycle,vehicle.bicycle""},{""id"":""lateral-action"",""pass"":true,""evidence"":""lateral or near-miss action""}]","true","null","0","0","null","null","null","null","null","success","null","null","direct-luna/results.json",""
"direct-llm","unsupported-impossible","Deliberately impossible request","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","[]","10550","10643","2349","938","3287","1","0","null","null","null","null","null","true","true","true","20","89","64fc5ee2c4f22c5e3152eee4bb8d58c23667e81421033029d0b90497022d39a1","1","1","false","[{""id"":""must-reject"",""pass"":false,""evidence"":""provider materialized an unsupported flying/teleporting scenario""}]","true","null","0","0","null","null","null","null","null","unexpected-generation","unsupported-request-not-rejected","Provider materialized and simulated an unsupported request","direct-luna/results.json",""
