"provider","caseId","caseSummary","mapId","requestedModel","actualModel","modelFallback","reasoningEffort","outcome","failureCategory","generationLatencyMs","totalLatencyMs","inputTokens","outputTokens","totalTokens","apiCalls","repairCount","scenicCompileMs","scenicCompilePass","scenicSampleMs","scenicSamplePass","scenicCompileSampleMs","mapBindingPass","nativeValidationPass","simulationPass","simulationDurationS","simulationWallMs","simulationHash","actorCount","actionCount","semanticPass","editablePass","safeError","convergenceIterations","relativeActionCount","relativeTriggerFireCount","relativeTimingPass","stopReason","imagesSent","totalImageBytes","imageCostUsd"
"direct-llm","lead-hard-brake","Lead vehicle hard braking","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","semantic-mismatch","semantic-constraints","6446","6572","2356","557","2913","1","0","","","","","","true","true","true","20","111","c4e0da56f47b41b70ced7bdbef4f525b4422b25d1f706f82233d51e7e71ef451","2","1","false","true","explicit-stop: stopped actor or zero-speed action","","0","0","","","","",""
"direct-llm","cut-in","Adjacent-lane cut-in","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","success","","7208","7314","2351","597","2948","1","0","","","","","","true","true","true","20","98","faf1256b4bafb964fb51cf2040db04da7a971551e1d4e8063ed59f6155875e45","2","1","true","true","","","0","0","","","","",""
"direct-llm","signalized-turn-conflict","Signalized turn conflict","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","semantic-mismatch","semantic-constraints","8205","8258","2354","712","3066","1","0","","","","","","true","true","true","20","50","924f7f52b9ed98b198aedcb03d1673b528fc65c85e95ca7429c8ba821daac0e4","2","2","false","true","signal-control: signal plan/control/action","","0","0","","","","",""
"direct-llm","pedestrian-near-miss","Pedestrian near miss","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","failure","map-binding","6804","6812","2354","545","2899","1","0","","","","","","false","false","false","","","","","","false","false","near_miss_infeasible_speed at choreography.interactions.pedestrian-crossing-near-miss.target: no collision-free near miss satisfies the time, speed and clearance bounds","","","","","","","",""
"direct-llm","occluded-pedestrian","Occluded pedestrian emergence","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","success","","10745","10900","2351","934","3285","1","0","","","","","","true","true","true","20","149","a05d758e4cdf59e0e1d0c51bb6f8d646f0c2ec677606abc39ee657d59d8db2c6","3","2","true","true","","","0","0","","","","",""
"direct-llm","multi-actor-intersection","Multi-actor intersection conflict","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","success","","16365","16505","2354","1432","3786","1","0","","","","","","true","true","true","20","133","23a0a8054099c0e27ac2aba79d042ea61ec6bb931f6f35de0ebde2a4be0f0d0e","3","3","true","true","","","0","0","","","","",""
"direct-llm","blocked-lane","Stopped vehicle blocks lane","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","success","","9241","9331","2347","770","3117","1","0","","","","","","true","true","true","20","87","c190f0efbdb421b1ca96ceb08fcc9faa4fd5bea515b50f9582bc4c02b4c74aab","2","1","true","true","","","0","0","","","","",""
"direct-llm","opposing-left-turn","Opposing left turn","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","semantic-mismatch","semantic-constraints","8281","8354","2346","662","3008","1","0","","","","","","true","true","true","20","69","e92ce29766986e47e345a5ba780cbc5e2617b16daa701ea1b1048c6f75c19e85","2","1","false","true","turn-route: route turn/path action","","0","0","","","","",""
"direct-llm","motorcycle-cyclist","Motorcycle and cyclist interaction","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","success","","18032","18107","5005","1432","6437","2","1","","","","","","true","true","true","20","70","d51f7efbb724538743093dfe5bb42ae5952a32ac553193d688fe3dc69bae5636","2","1","true","true","","","0","0","","","","",""
"direct-llm","unsupported-impossible","Deliberately impossible request","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","unexpected-generation","unsupported-request-not-rejected","8565","8656","2349","611","2960","1","0","","","","","","true","true","true","20","87","302c600626c757c7becb01a1085b3c405f19d17b9de070a35533ff95b223ef24","1","1","false","true","Provider materialized and simulated an unsupported request","","0","0","","","","",""
