"provider","caseId","caseSummary","mapId","requestedModel","actualModel","modelFallback","reasoningEffort","seed","outcome","failureCategory","generationLatencyMs","totalLatencyMs","inputTokens","outputTokens","totalTokens","apiCalls","repairCount","scenicCompileMs","scenicCompilePass","scenicSampleMs","scenicSamplePass","scenicCompileSampleMs","mapBindingPass","nativeValidationPass","simulationPass","simulationDurationS","simulationWallMs","simulationHash","actorCount","actionCount","semanticPass","editablePass","safeError","convergenceIterations","relativeActionCount","relativeTriggerFireCount","relativeTimingPass","stopReason","imagesSent","totalImageBytes","imageCostUsd"
"simulation-agent","lead-hard-brake","Lead vehicle hard braking","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","","failure","no-candidate","61185","61188","11047","4528","15575","4","3","","","","","","false","false","false","","","","","","false","false","iteration_budget_exhausted: No candidate passed schema, map binding, full simulation, and requested semantic checks within 4 iterations.; check_requested_semantics: two-vehicles=true: 2 vehicles; explicit-stop=false: stopped actor or zero-speed action; timed-speed-action=true: speed action at/after 4s; explicit-stop: stopped actor or zero-speed action","4","","","","iteration-budget-exhausted","","",""
"simulation-agent","cut-in","Adjacent-lane cut-in","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","","success","","13701","13773","4976","924","5900","2","1","","","","","","true","true","true","20","69","72dc5035d5e7cd25b68addd6e1dcbb5408f82116544375c13b034596417141ee","2","1","true","true","","2","0","0","","verified","","",""
"simulation-agent","signalized-turn-conflict","Signalized turn conflict","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","","failure","no-candidate","79773","79773","11356","5947","17303","4","3","","","","","","false","false","false","","","","","","false","false","iteration_budget_exhausted: No candidate passed schema, map binding, full simulation, and requested semantic checks within 4 iterations.; check_requested_semantics: two-vehicles=true: 2 vehicles; turn-route=true: route turn/path action; signal-control=false: signal plan/control/action; signal-control: signal plan/control/action","4","","","","iteration-budget-exhausted","","",""
"simulation-agent","pedestrian-near-miss","Pedestrian near miss","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","","failure","no-candidate","49741","49741","10074","3841","13915","4","3","","","","","","false","false","false","","","","","","false","false","iteration_budget_exhausted: No candidate passed schema, map binding, full simulation, and requested semantic checks within 4 iterations.; bind_current_map: near_miss_infeasible_speed at choreography.interactions.pedestrian-ego-near-miss.target: no collision-free near miss satisfies the time, speed and clearance bounds","4","","","","iteration-budget-exhausted","","",""
"simulation-agent","occluded-pedestrian","Occluded pedestrian emergence","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","","success","","30375","30479","4996","2378","7374","2","1","","","","","","true","true","true","20","102","5977345037ce527d4e82fa95e1f7ac3e6881df45ff6afd71a41b1b82e70cdd44","3","2","true","true","","2","0","0","","verified","","",""
"simulation-agent","multi-actor-intersection","Multi-actor intersection conflict","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","","success","","32697","32829","5045","3130","8175","2","1","","","","","","true","true","true","20","130","f95074217e716c1232698e6c55006fe690e24ad651900fb182e76069649470aa","3","6","true","true","","2","0","0","","verified","","",""
"simulation-agent","blocked-lane","Stopped vehicle blocks lane","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","","success","","3484","3579","2461","263","2724","1","0","","","","","","true","true","true","20","93","ed6ac97333471070278ac1914162ae56e4a491adef4e38c2c200a042d2156020","2","1","true","true","","1","1","0","false","verified","","",""
"simulation-agent","opposing-left-turn","Opposing left turn","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","","success","","9844","9885","2460","788","3248","1","0","","","","","","true","true","true","20","39","3281fafe03221e611c7704ef82da075cb3212e720a6bfd7063828ad83664bec0","2","1","true","true","","1","0","0","","verified","","",""
"simulation-agent","motorcycle-cyclist","Motorcycle and cyclist interaction","richmond-field-station","gpt-5.6-terra","gpt-5.6-terra","false","high","","failure","no-candidate","48717","48718","9994","4113","14107","4","3","","","","","","false","false","false","","","","","","false","false","iteration_budget_exhausted: No candidate passed schema, map binding, full simulation, and requested semantic checks within 4 iterations.; bind_current_map: choreography.interactions.1.actor: nearMiss routes are only supported for pedestrians","4","","","","iteration-budget-exhausted","","",""
"simulation-agent","unsupported-impossible","Deliberately impossible request","richmond-field-station","gpt-5.6-terra","","false","high","","expected-rejection","provider-generation","","1","","","","","","","","","","","false","false","false","","","","","","false","false","Unsupported request: native road actors cannot teleport, fly, or pass through buildings.","","","","","","","",""
