"provider","caseId","caseSummary","mapId","requestedModel","actualModel","modelFallback","reasoningEffort","outcome","failureCategory","generationLatencyMs","totalLatencyMs","inputTokens","outputTokens","totalTokens","apiCalls","repairCount","scenicCompileMs","scenicCompilePass","scenicSampleMs","scenicSamplePass","scenicCompileSampleMs","mapBindingPass","nativeValidationPass","simulationPass","simulationDurationS","simulationWallMs","simulationHash","actorCount","actionCount","semanticPass","editablePass","safeError","convergenceIterations","relativeActionCount","relativeTriggerFireCount","relativeTimingPass","stopReason","imagesSent","totalImageBytes","imageCostUsd"
"simulation-agent","lead-hard-brake","Lead vehicle hard braking","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","failure","no-candidate","87969","87971","11035","8572","19607","4","3","","","","","","false","false","false","","","","","","false","false","iteration_budget_exhausted: No candidate passed schema, map binding, full simulation, and requested semantic checks within 4 iterations.; check_requested_semantics: two-vehicles=true: 2 vehicles; explicit-stop=false: stopped actor or zero-speed action; timed-speed-action=true: speed action at/after 4s; explicit-stop: stopped actor or zero-speed action","4","","","","iteration-budget-exhausted","","",""
"simulation-agent","cut-in","Adjacent-lane cut-in","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","success","","19986","20050","2465","2131","4596","1","0","","","","","","true","true","true","20","61","5c4faeac6df2db53085ce0e8105631b38fda2e415e671608dda0bc16a391713c","2","5","true","true","","1","0","0","","verified","","",""
"simulation-agent","signalized-turn-conflict","Signalized turn conflict","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","failure","no-candidate","150297","150298","11587","16022","27609","4","3","","","","","","false","false","false","","","","","","false","false","iteration_budget_exhausted: No candidate passed schema, map binding, full simulation, and requested semantic checks within 4 iterations.; check_requested_semantics: two-vehicles=true: 2 vehicles; turn-route=true: route turn/path action; signal-control=false: signal plan/control/action; signal-control: signal plan/control/action","4","","","","iteration-budget-exhausted","","",""
"simulation-agent","pedestrian-near-miss","Pedestrian near miss","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","failure","no-candidate","118550","118550","10054","13046","23100","4","3","","","","","","false","false","false","","","","","","false","false","iteration_budget_exhausted: No candidate passed schema, map binding, full simulation, and requested semantic checks within 4 iterations.; bind_current_map: near_miss_infeasible_speed at choreography.interactions.pedestrian-ego-near-miss.target: no collision-free near miss satisfies the time, speed and clearance bounds","4","","","","iteration-budget-exhausted","","",""
"simulation-agent","occluded-pedestrian","Occluded pedestrian emergence","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","failure","no-candidate","138490","138491","10052","15441","25493","4","3","","","","","","false","false","false","","","","","","false","false","iteration_budget_exhausted: No candidate passed schema, map binding, full simulation, and requested semantic checks within 4 iterations.; bind_current_map: action child-enters-ego-path lane offset must be within -1..1","4","","","","iteration-budget-exhausted","","",""
"simulation-agent","multi-actor-intersection","Multi-actor intersection conflict","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","success","","70155","70284","5016","8392","13408","2","1","","","","","","true","true","true","20","125","d0ff1a9112425cde83ed0c22fd2f7685b4e27c71e4933bc173180baf8d00e6f3","3","9","true","true","","2","0","0","","verified","","",""
"simulation-agent","blocked-lane","Stopped vehicle blocks lane","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","success","","18244","18293","2461","1974","4435","1","0","","","","","","true","true","true","20","46","c36ad00d5ad3f3fbdcbb12110e22264206d273f353dadaba477f1c61b9ce1cd6","2","3","true","true","","1","1","1","true","verified","","",""
"simulation-agent","opposing-left-turn","Opposing left turn","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","success","","18531","18570","2460","2121","4581","1","0","","","","","","true","true","true","20","36","35f433893c1d495245927b2307e40ca836e20ac2111f06d3115043d14020cc53","2","5","true","true","","1","0","0","","verified","","",""
"simulation-agent","motorcycle-cyclist","Motorcycle and cyclist interaction","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","failure","no-candidate","132246","132247","9998","16129","26127","4","3","","","","","","false","false","false","","","","","","false","false","iteration_budget_exhausted: No candidate passed schema, map binding, full simulation, and requested semantic checks within 4 iterations.; bind_current_map: choreography.interactions.3.actor: nearMiss routes are only supported for pedestrians","4","","","","iteration-budget-exhausted","","",""
"simulation-agent","unsupported-impossible","Deliberately impossible request","richmond-field-station","gpt-5.6-luna","","false","high","expected-rejection","provider-generation","","3","","","","","","","","","","","false","false","false","","","","","","false","false","Unsupported request: native road actors cannot teleport, fly, or pass through buildings.","","","","","","","",""
"simulation-agent","pedestrian-distance-trigger","Pedestrian starts from vehicle distance","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","success","","29352","29413","2472","3011","5483","1","0","","","","","","true","true","true","20","59","b453d83b81a36aeef9e7717a076b7c892b06ae3524bd688d784c0c37541c59d1","2","1","true","true","","1","1","1","true","verified","","",""
"simulation-agent","pedestrian-ttc-trigger","Pedestrian starts from TTC","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","success","","21685","21757","2473","2484","4957","1","0","","","","","","true","true","true","20","71","54cd4728ad7319a9418a175a15ba1deb08eacd05cbea776ad2e99fb898a700fb","2","3","true","true","","1","1","0","false","verified","","",""
"simulation-agent","child-between-parked-vehicles","Child occluded by two parked vehicles","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","failure","no-candidate","134298","134298","10028","16670","26698","4","3","","","","","","false","false","false","","","","","","false","false","iteration_budget_exhausted: No candidate passed schema, map binding, full simulation, and requested semantic checks within 4 iterations.; bind_current_map: near_miss_trigger_unresolved at choreography.interactions.child-near-ego.trigger: near-miss trigger cannot be resolved against the canonical target trajectory","4","","","","iteration-budget-exhausted","","",""
"simulation-agent","synchronized-near-miss","Synchronized conflict-point near miss","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","failure","no-candidate","145304","145304","10043","12998","23041","4","3","","","","","","false","false","false","","","","","","false","false","iteration_budget_exhausted: No candidate passed schema, map binding, full simulation, and requested semantic checks within 4 iterations.; bind_current_map: near_miss_trigger_unresolved at choreography.interactions.pedestrian-near-miss.trigger: near-miss trigger cannot be resolved against the canonical target trajectory","4","","","","iteration-budget-exhausted","","",""
"simulation-agent","emergency-yield-response","Distance-triggered emergency yield","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","failure","no-candidate","93872","93872","11254","10360","21614","4","3","","","","","","false","false","false","","","","","","false","false","iteration_budget_exhausted: No candidate passed schema, map binding, full simulation, and requested semantic checks within 4 iterations.; check_requested_semantics: emergency-actor=false: emergency actors=0; relative-yield=true: 1 relative yield actions; emergency-actor: emergency actors=0","4","","","","iteration-budget-exhausted","","",""
"simulation-agent","signal-delayed-turn","Signal phase delayed turn","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","failure","no-candidate","134765","134765","11364","15044","26408","4","3","","","","","","false","false","false","","","","","","false","false","iteration_budget_exhausted: No candidate passed schema, map binding, full simulation, and requested semantic checks within 4 iterations.; check_requested_semantics: two-vehicles=true: 2 vehicles; delayed-turn=true: turn=true; delayed=true; signal-control=false: 0 plans; 0 controls; signal-control: 0 plans; 0 controls","4","","","","iteration-budget-exhausted","","",""
"simulation-agent","merge-rear-gap","Merge after rear-gap acceptance","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","success","","18297","18352","2469","2019","4488","1","0","","","","","","true","true","true","20","54","46acdd5fe27c6b7a2af68b07f9240dfd4987014f2185036fba628bce3c5df1a3","2","3","true","true","","1","1","1","true","verified","","",""
"simulation-agent","bus-occluded-cyclist","Cyclist occluded by stopped bus","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","success","","89189","89275","7504","10417","17921","3","2","","","","","","true","true","true","20","84","be2a77d309b8c875d9a642c5189a62ccc45ceafbbf2ec9af75422041d9d0099f","3","4","true","true","","3","1","1","true","verified","","",""
"simulation-agent","lane-change-then-brake","Sequential lane change then brake","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","success","","25112","25175","2469","2671","5140","1","0","","","","","","true","true","true","20","61","d7659d071b350508695a7ee86f872c0ddfb3ca2a2b9453ee40a83483189ec975","2","4","true","true","","1","0","0","","verified","","",""
