"provider","caseId","caseSummary","mapId","requestedModel","actualModel","modelFallback","reasoningEffort","seed","outcome","failureCategory","generationLatencyMs","totalLatencyMs","inputTokens","outputTokens","totalTokens","apiCalls","repairCount","scenicCompileMs","scenicCompilePass","scenicSampleMs","scenicSamplePass","scenicCompileSampleMs","mapBindingPass","nativeValidationPass","simulationPass","simulationDurationS","simulationWallMs","simulationHash","actorCount","actionCount","semanticPass","editablePass","safeError","convergenceIterations","relativeActionCount","relativeTriggerFireCount","relativeTimingPass","stopReason","imagesSent","totalImageBytes","imageCostUsd"
"verified-template-search","lead-hard-brake","Lead vehicle hard braking","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","semantic-mismatch","semantic-constraints","3445","3497","427","138","565","1","0","","","","","","true","true","true","20","49","333b5682ee7759ef4d08ed1848bc757b4d15a8ff742846a0d7b2aefe53442534","2","1","false","true","explicit-stop: stopped actor or zero-speed action","","0","0","","","","",""
"verified-template-search","cut-in","Adjacent-lane cut-in","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","success","","2523","2577","422","152","574","1","0","","","","","","true","true","true","20","53","5f5e59df9f1baeeb3adb4b9c61c82a185cc842d538e783ae8f81b9e0f8b2d35e","2","1","true","true","","","1","0","false","","","",""
"verified-template-search","signalized-turn-conflict","Signalized turn conflict","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","semantic-mismatch","semantic-constraints","4701","4751","425","142","567","1","0","","","","","","true","true","true","20","49","fc672c392808c25603a42491bebb31d09cf3c9f5ac3fc2250f91f300ab647818","2","1","false","true","signal-control: signal plan/control/action","","0","0","","","","",""
"verified-template-search","pedestrian-near-miss","Pedestrian near miss","richmond-field-station","gpt-5.6-luna","","false","high","","failure","provider-generation","","1975","","","","","","","","","","","false","false","false","","","","","","false","false","Verified template ec-double-crosswalk could not bind and simulate within the 24-candidate search budget","","","","","","","",""
"verified-template-search","occluded-pedestrian","Occluded pedestrian emergence","richmond-field-station","gpt-5.6-luna","","false","high","","failure","provider-generation","","2074","","","","","","","","","","","false","false","false","","","","","","false","false","Verified template ec-child-bus could not bind and simulate within the 24-candidate search budget","","","","","","","",""
"verified-template-search","multi-actor-intersection","Multi-actor intersection conflict","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","semantic-mismatch","semantic-constraints","3893","3942","425","198","623","1","0","","","","","","true","true","true","20","49","fc672c392808c25603a42491bebb31d09cf3c9f5ac3fc2250f91f300ab647818","2","1","false","true","three-vehicles: 2 vehicles; coordinated-actions: 1 actions","","0","0","","","","",""
"verified-template-search","blocked-lane","Stopped vehicle blocks lane","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","semantic-mismatch","semantic-constraints","28234","28280","418","187","605","1","0","","","","","","true","true","true","20","45","333b5682ee7759ef4d08ed1848bc757b4d15a8ff742846a0d7b2aefe53442534","2","1","false","true","stopped-obstacle: stopped/static actor or zero-speed action","","0","0","","","","",""
"verified-template-search","opposing-left-turn","Opposing left turn","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","success","","2427","2474","417","153","570","1","0","","","","","","true","true","true","20","46","fc672c392808c25603a42491bebb31d09cf3c9f5ac3fc2250f91f300ab647818","2","1","true","true","","","0","0","","","","",""
"verified-template-search","motorcycle-cyclist","Motorcycle and cyclist interaction","richmond-field-station","gpt-5.6-luna","","false","high","","failure","provider-generation","","3714","","","","","","","","","","","false","false","false","","","","","","false","false","Verified template ec-cyclist-occlusion could not bind and simulate within the 24-candidate search budget","","","","","","","",""
"verified-template-search","unsupported-impossible","Deliberately impossible request","richmond-field-station","gpt-5.6-luna","","false","high","","expected-rejection","provider-generation","","0","","","","","","","","","","","false","false","false","","","","","","false","false","Unsupported or contradictory request cannot be satisfied by a verified road-scenario template.","","","","","","","",""
"verified-template-search","pedestrian-distance-trigger","Pedestrian starts from vehicle distance","richmond-field-station","gpt-5.6-luna","","false","high","","failure","provider-generation","","2665","","","","","","","","","","","false","false","false","","","","","","false","false","Verified template ec-double-crosswalk could not bind and simulate within the 24-candidate search budget","","","","","","","",""
"verified-template-search","pedestrian-ttc-trigger","Pedestrian starts from TTC","richmond-field-station","gpt-5.6-luna","","false","high","","failure","provider-generation","","6298","","","","","","","","","","","false","false","false","","","","","","false","false","Verified template ec-double-crosswalk could not bind and simulate within the 24-candidate search budget","","","","","","","",""
"verified-template-search","child-between-parked-vehicles","Child occluded by two parked vehicles","richmond-field-station","gpt-5.6-luna","","false","high","","failure","provider-generation","","2248","","","","","","","","","","","false","false","false","","","","","","false","false","Verified template ec-child-bus could not bind and simulate within the 24-candidate search budget","","","","","","","",""
"verified-template-search","synchronized-near-miss","Synchronized conflict-point near miss","richmond-field-station","gpt-5.6-luna","","false","high","","failure","provider-generation","","2209","","","","","","","","","","","false","false","false","","","","","","false","false","Verified template ec-double-crosswalk could not bind and simulate within the 24-candidate search budget","","","","","","","",""
"verified-template-search","emergency-yield-response","Distance-triggered emergency yield","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","semantic-mismatch","semantic-constraints","6286","6371","432","139","571","1","0","","","","","","true","true","true","20","83","ff3c901d659e739f29fc60e1427253f14d7e2772c88049cfce9b2646220748e3","3","3","false","true","emergency-actor: emergency actors=0; relative-yield: 0 relative yield actions","","0","0","","","","",""
"verified-template-search","signal-delayed-turn","Signal phase delayed turn","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","semantic-mismatch","semantic-constraints","3745","3795","427","162","589","1","0","","","","","","true","true","true","20","49","40d4c0fa2f624fad11f084d669db7ab989a68df9a200f566d5a5b9d2bac2d7e5","2","1","false","true","signal-control: 0 plans; 0 controls","","0","0","","","","",""
"verified-template-search","merge-rear-gap","Merge after rear-gap acceptance","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","success","","3588","3635","426","188","614","1","0","","","","","","true","true","true","20","45","5f5e59df9f1baeeb3adb4b9c61c82a185cc842d538e783ae8f81b9e0f8b2d35e","2","1","true","true","","","1","0","false","","","",""
"verified-template-search","bus-occluded-cyclist","Cyclist occluded by stopped bus","richmond-field-station","gpt-5.6-luna","","false","high","","failure","provider-generation","","3020","","","","","","","","","","","false","false","false","","","","","","false","false","Verified template ec-cyclist-occlusion could not bind and simulate within the 24-candidate search budget","","","","","","","",""
"verified-template-search","lane-change-then-brake","Sequential lane change then brake","richmond-field-station","gpt-5.6-luna","gpt-5.6-luna","false","high","","semantic-mismatch","semantic-constraints","4208","4251","426","185","611","1","0","","","","","","true","true","true","20","42","217b1d37ac29b1fbb556ce50bca7f52dc2ce7cd607e3082cafb6f761f94fa91c","2","2","false","true","same-actor-sequence: lane change completes before same actor stops","","1","0","false","","","",""
"verified-template-search","contradictory-constraints","Contradictory physical constraints","richmond-field-station","gpt-5.6-luna","","false","high","","expected-rejection","provider-generation","","0","","","","","","","","","","","false","false","false","","","","","","false","false","Unsupported or contradictory request cannot be satisfied by a verified road-scenario template.","","","","","","","",""
